,our_shape_preds,our_preds_mfes,rnalib_shape_preds,rnalib_preds_mfes,seq_length,num_irs,num_variables,num_constraints,num_solver_iters,num_b_n_b_nodes,solution_time_msecs
790,(((.((((((...(((((((.((((()))....)))))........((((.......)))))))))))..(((((......))))))))))).............,-21.050000220537186,(((.((((((((((((((((.((((((.....)))))).......((((.......)))).))))))))))..........)))))).)))..............,-28.899999618530273,105,241,241,4018,9,1,150
791,...........................((((((((((..((((((((())))))).))).......))))).....))))..............(((.....))),-17.069999933242798,...(((((.(((.((((.((.((....)).)).)))...).)))))))).(((.(((((((((..((((...))))...))))))......))).))).......,-31.799999237060547,105,240,240,4047,79,1,191
792,.((((((((((((.......)))))))..................(((((....(((..)))))..((.....))((()))..)))))...(((....)))))).,-20.139999985694885,......(((((((........))))))).........((((......((....))......))))...((((((...((.(..((....))..).)).)))))).,-26.0,105,255,255,4453,104,1,217
793,..((((....)))).(((.......(((..(((((((((...)))..........)))))))))........................((((.))))))).....,-19.769999764859676,((((((((....(((((((..((.((...((((((((((...((......))...))))))))))....)).)).)).)))))))))......))))........,-25.5,105,252,252,4258,8,1,159
794,..(((((((((..................)))...))))))...................(((........)))...............................,-7.3999999538064,(((((((((((.(((.........)))..)))...)))))).))............((((....))))...((((((((((........))))))).))).....,-18.5,105,242,242,3838,9,1,144
795,.(((((.........(((((.((((...((((.....))))...)))).............(((((((...)))))........)))))...)))))))......,-21.399999916553497,.....(((((....)))))((((((...((((.....))))...)))).)).(((.(....(((((((.......((((...))))......)))))))..)))),-24.0,105,250,250,4173,102,1,194
796,............((((.....))))......(((........))).....(((...................)))..............................,-2.900000035762787,......(((.(((...(.(((((((((..(((((........)))))..))...(((...((((...))))))).....))))))).)...)))..)))......,-15.300000190734863,105,249,249,4200,6,1,146
797,(((......)))((((.....))))....(((((((((.))...))).................(((((((...))........)))))...)))).........,-19.01000014692545,(((......)))((((.....)))).((((((((...)))).)))).........((((.((....(((((..((.....))..)))))...)))))).......,-28.799999237060547,105,251,251,4050,85,1,180
798,.......((((((((((())).......(((..(((....)))...........))))))))..........)))((((.(((....)))))))...........,-23.419999793171883,...(((((..((((((((..((((..(((((...(((....)))))))).))))))))))))...))))).....((((.(((....)))))))...........,-30.299999237060547,105,266,266,4699,96,1,220
799,(((.........((((...(((((..)))).......................(((((...)))))....)))....(((((...))))).........))))).,-14.259999830275774,(((..........)))...((((((((((.....(((.((((((.......))))))))))))))(((((.........)))))...............))))).,-21.899999618530273,105,260,260,4519,84,1,209
800,..........................................((((((.....(((((......)))))....(((((.....)))))..........))))))......,-14.750000357627869,..........(((.(((......)))))).......(((((((((((((...((((((......))))))))))..)))).)))))........................,-19.200000762939453,110,254,254,4337,20,1,161
801,.((((.....((((((......((((((((......(((())))))))))))))......((....((())...........))).....))))))))............,-23.09000027179718,((((...((.((((((......((((((((..........)))))))))))))).))..))))..((((...((((((...)))))).))))(((((........))))),-34.79999923706055,110,280,280,5038,8,1,191
802,............................(((.......)))..((((................(((())))........))))..(((....)))...............,-11.099999904632568,(.((((((.((((((.(((..(((((.((..........)))))))...)))..))))))....)))))))........(((.(.(((....))).).))).........,-24.799999237060547,110,263,263,4340,61,1,206
803,..........((((((.(((((....)))))...........(((((......))))))...)))))...(((...)))(((((((........))))))).........,-16.579999953508377,.((((((..(((........))).))))))((((((......(((((..((......))...)))))......)))..)))..(((((((((......))))).))))..,-24.200000762939453,110,262,262,4400,42,1,185
