dot_bracket_repr,obj_fn_final_value,dot_bracket_repr_mfe,seq_len,n_irs_found,solver_num_booleans,solver_solve_time,solver_iterations,solver_num_branches_explored,solver_num_conflicts
(((((((.......((((.......(((((...)))))))))....(((((.......))))))))))))....,-28.0,-6.699999809265137,74,125,111,0.565189115,222,0
(((......((((........)))).(((((.......))))).....(((((.......)))))....)))....,-21.0,-24.700000762939453,76,130,121,0.33202993000000003,242,0
.(((((((.........)))(((.........(((((....(((....)))....)))....)))).....))))).(((.((((...)))......)))),-22.0,24.600000381469727,101,277,264,48.464994578,528,0
((((((((..((((........)))).(((((.......)))))......((((.......)))).))))))))...,-26.0,-28.5,77,114,105,0.149757747,210,0
.((((......................(((((...)))))))))....(((...........)))...........,-6.0,14.699999809265137,76,136,121,0.19193279400000002,242,0
((((.......)))),-3.0,-2.9000000953674316,15,3,0,0.002592421,0,0
(((((((((...(((((.......)))))..........(((...))))))))))))..........,-17.0,-18.700000762939453,67,109,97,0.037156045000000006,194,0
............(((....)))..........,-5.0,-4.900000095367432,32,19,16,0.003981954,32,0
(((.....................))),-2.0,-1.7000000476837158,27,10,0,0.002549308,0,0
.(((((((...................(((((.......)))))....(((((.......))))))))))))....,-22.0,-23.0,76,126,114,0.23617807200000002,228,0
((((..........(((((..(((............))))).......))))))),-10.0,5.800000190734863,55,81,72,0.033454529000000004,144,0
(((((((.......((((((((((.....))))))...........))))(((((.......))))))))))))....,-30.0,-30.5,78,143,133,0.7290555550000001,266,0
((((...(((.((...)))))....((......))....)))),-6.0,10.300000190734863,43,41,34,0.006450784,68,0
.((((((((.((((((..((((((...)).....((((.......)))).........))))...(((((........)))))))))))....))))))))....,-44.0,-40.29999923706055,105,379,349,183.605896655,698,0
(((((((..(((((........)))))(((((........))))).....(((((.......))))))))))))....,-41.0,-43.70000076293945,78,205,178,3.410748845,356,0
.........((((.((((...))))....)))).............(((((.......)))))....,-12.0,3.5999999046325684,67,108,105,0.18191480000000002,210,0
((((((((((...((((....))))))))...)))))),-16.0,-18.799999237060547,38,37,27,0.006254076000000001,54,0
..............(((....)))........,-5.0,-4.800000190734863,32,25,21,0.004819416,42,0
(((......)))..........(((((.................((((...))))..(((((.......))))).....))))).,-23.0,-25.200000762939453,85,164,148,0.7148595000000001,296,0
(((((((..(((..........))).(((((.......))))).((((...))))..(((((.......))))))))))))....,-28.0,-31.200000762939453,85,179,166,1.0861389590000001,332,0
((((((......(((((.......)))))..........(((...)))...))))))..........,-14.0,-15.800000190734863,67,109,97,0.029008127,194,0
.((((................((((........(((....)))...................))))......)))).,-6.0,-5.599999904632568,77,118,111,0.08768611300000001,218,0
..((((.((....))))))..,-3.0,-5.599999904632568,21,12,0,0.002529087,0,0
(((((((..((((........)))).(((((((...)))))))...........(((....))).)))))))....,-27.0,-29.799999237060547,76,134,124,0.227212622,248,0
(((.....)))......((((((..(((......))).....(((....))).....(((....)))....)))))).....(((((....))))).......,-22.0,-24.399999618530273,103,260,242,15.126259965000001,484,0
(((((....((((.......)))).......................(((((.......)))))..)))))....,-12.0,-14.0,75,120,118,0.06136892100000001,236,0
((((((((.((((....)))))))))))),-8.0,-7.300000190734863,29,25,19,0.004303875,38,0
(((((((....................(((((.......)))))....(((((.......))))))))))))....,-23.0,-24.5,76,147,138,1.039748543,276,0
(((((((....(((((.((((.........)))))............(((........))))))))))))))....,-16.0,3.5,76,136,123,0.204050478,246,0
((((((((................)))))))),-6.0,-6.099999904632568,32,27,0,0.0029920930000000004,0,0
.........((((........)))).((((....))))...........((((.......))))..((.....)).,-15.0,-14.399999618530273,76,133,116,0.164589925,232,0
(((((((....(((((.((((.........)))))............(((........))))))))))))))....,-16.0,3.5,76,136,123,0.205076734,246,0
(((((((...((((((......)).(((((.......))))).((((...))))))))(((.......)))..)))))))....,-28.0,-31.200000762939453,84,184,175,3.5220672690000003,350,0
...((((.........((((((((((...............(((..((((..............)))...))))))...)))).))))..)))).......,-7.0,37.599998474121094,101,232,219,2.670580707,438,0
.((((((....................(((((.......)))))....(((((.......))))))))))).....,-10.0,-10.699999809265137,76,167,152,0.092670655,304,0
..............((((.....((((.......))))......))))(((....)))..((((((((.............))))........))))..........,-14.0,-16.299999237060547,107,252,241,5.287838368,482,0
(((((((((..................((((((((((...)))).......)))))).....))))))))),-16.0,2.0999999046325684,71,133,117,0.072503248,234,0
.((((((.........((((.(((....)))).........)))...(((((.......))))))))))).....,-19.0,-7.0,75,125,114,0.31823362600000005,194,0
((((.................(((..((((.......))))..(((((......)))))........))))))).,-13.0,-2.9000000953674316,75,131,123,0.10523415000000001,246,0
(((.....)))(((..............(((((.........)))))......)))........(((((((..............))).((((((((....))))).......)))..(((....))))..))).....,-28.0,-13.800000190734863,139,445,433,227.35063079100001,866,0
..((((((((.......(((((...........................(((....)))..((((....(((...........))))))))....)))).)))))))).........,-22.0,-1.7000000476837158,117,336,318,50.824696593000006,636,0
.......(((((......((((.............((((((.(((....)))......))))...................)))))..)))))).....,-14.0,34.0,99,250,234,12.675387870000002,468,0
((((((((((...((((....))))))))...)))))),-16.0,-18.799999237060547,38,37,27,0.006320175000000001,54,0
(((((....((((.......))))..((((.....................))))))))),-2.0,13.899999618530273,60,119,97,0.023228712000000002,194,0
((((((((......)))))))),-10.0,-10.199999809265137,22,5,0,0.0027954340000000003,0,0
(((((.((((((.........))))))......((((((...........)))))....)))))).....,-13.0,15.199999809265137,70,103,95,0.15995457500000002,190,0
....((((((...))))))....,-4.0,-3.5,23,9,0,0.002621392,0,0
(((((((((((((.............((((.........)))))))))).((((...........))))))))))),-15.0,-0.4000000059604645,76,117,110,0.142768281,220,0
(((((((...................(((((.......)))))....(((((.......)))))))))))).,-21.0,-22.899999618530273,72,122,112,0.29153812500000004,224,0
((((..........((((.......((((((......)))).)).((((....)))))))).((((......)))).............)))).,-20.0,-7.0,94,192,180,2.357808159,360,0
.........(((..........))).(((((.......))))).....(((((.......)))))..((....)).,-16.0,-16.399999618530273,76,130,120,0.7416341580000001,240,0
.......(((((....)))))......,-8.0,-8.100000381469727,27,15,9,0.003661286,18,0
..((((..((....)))))).(((.((((......)))...(((((((((((....((....)).........))))......)))))))))))......,-34.0,18.100000381469727,100,276,262,34.439757034,524,0
.....(((((((.((((((.(((......))).....(((....))).....(((....)))...))))))..)))))))...........,-32.0,-37.900001525878906,91,219,201,9.949555072,402,0
(((......(((((....(((((((((........)))...(((....)))....)))))((((.....))))......)))))....)))).....,-22.0,37.20000076293945,97,251,241,25.689484066000002,482,0
.((((((.(((((......((((..(((....)))..........))))).))))))))))......,-14.0,15.399999618530273,67,95,81,0.07945057600000001,162,0
..((((((((((..............(((((.......))))).......(((.......)))..))))).))))),-12.0,8.600000381469727,76,124,108,0.12235298500000001,216,0
(((((((.....................(((.(((.....))))))(((((.......))))))))))))....,-24.0,-28.299999237060547,74,146,130,0.46315041300000004,260,0
(((((((...................(((((.......)))))....(((((.......))))))))))))....,-17.0,-19.899999618530273,75,122,112,0.173496014,224,0
.........((((......)))).(((((.......)))))....((((......))))...........,-11.0,-10.800000190734863,70,108,103,0.026774164000000003,206,0
(((((((..................(((((.......))))).....((((.......)))).)))))))....,-19.0,-20.299999237060547,74,124,113,0.116648365,226,0
(((((......................(((((.......)))))....(((((.......)))))..)))))....,-15.0,-16.799999237060547,76,140,129,0.5894791070000001,258,0
..........((((......)))).(((((.......)))))....(((((....)))))...........,-9.0,-9.199999809265137,71,128,114,0.046059404000000005,228,0
((((......((((...))))......(((((((.....)))))))...(((...........)))......)))).,-18.0,-1.7999999523162842,77,144,131,0.418891296,262,0
.(((((........((.....))(((.....(((....))).....)))..(((.......)))...))))).,-12.0,-17.100000381469727,73,123,116,0.162665088,232,0
((((((((.......((((................(((((...........))))......................)))))...))))))))....,-10.0,9.699999809265137,97,217,200,1.492875501,400,0
.........((((.....)))).(((((.......)))))...((((((......))))))..........,-4.0,-4.800000190734863,71,168,149,0.071746578,298,0
((((((.....)))))),-8.0,-7.699999809265137,17,3,0,0.0026702130000000003,0,0
..............(((....)))............,-2.0,-1.899999976158142,36,27,0,0.002938193,0,0
((((...((((....))))....)))),-9.0,-10.899999618530273,27,15,0,0.002823861,0,0
(((((((..((((.........))))((((((.......))))))....(((((.......))))))))))))....,-30.0,-33.0,77,146,136,0.507142431,272,0
....(((((...................(((((((((.....))))).........)))))))))............(((((.......)))))...,-17.0,-5.699999809265137,97,234,223,9.571875186,446,0
(((((........(((......))).(((((.......))))).....(((((.......)))))..)))))....,-22.0,-25.100000381469727,76,141,125,0.5939483680000001,250,0
..........(((((.(((((.......))))).......(((....))).((..(((...)).......)))....))))).................,-13.0,-2.5,99,215,206,1.4431143560000002,412,0
